,TEAM,Team_id,year,month,FGA,FG_P,3PA,3P_P,OFFRTG,DEFRTG,REB_P,AST/TO,PACE
46,Cleveland Cavaliers,Cleveland Cavaliers_11_2010,2010,11,80.6,43.7,16.7,35.0,101.1,106.8,50.2,1.57,93.89
47,Detroit Pistons,Detroit Pistons_11_2010,2010,11,80.3,45.0,14.1,38.4,104.5,109.4,48.4,1.46,88.9
48,Golden State Warriors,Golden State Warriors_11_2010,2010,11,86.9,44.2,20.1,35.9,104.1,110.0,47.9,1.35,96.3
49,Memphis Grizzlies,Memphis Grizzlies_11_2010,2010,11,83.5,47.0,14.2,34.7,105.5,107.3,48.2,1.3,93.03
50,Houston Rockets,Houston Rockets_11_2010,2010,11,82.6,44.7,20.0,36.8,105.3,107.1,49.8,1.56,96.35
51,Milwaukee Bucks,Milwaukee Bucks_11_2010,2010,11,80.9,40.6,17.3,32.2,99.1,101.1,51.6,1.26,91.25
52,Portland Trail Blazers,Portland Trail Blazers_11_2010,2010,11,81.3,43.6,17.7,29.8,104.0,107.7,49.6,1.51,89.62
53,Washington Wizards,Washington Wizards_11_2010,2010,11,84.1,44.6,17.7,34.3,103.7,109.7,50.2,1.27,93.28
54,Philadelphia 76ers,Philadelphia 76ers_11_2010,2010,11,80.4,46.3,14.1,34.9,103.3,104.8,49.4,1.58,93.86
55,Toronto Raptors,Toronto Raptors_11_2010,2010,11,80.5,45.1,14.5,30.9,105.4,109.5,51.4,1.27,94.5
56,New Jersey Nets,New Jersey Nets_11_2010,2010,11,77.5,44.6,16.7,36.0,103.9,108.3,49.5,1.49,88.68
57,Minnesota Timberwolves,Minnesota Timberwolves_11_2010,2010,11,87.9,42.9,18.3,37.5,101.8,112.5,51.8,1.11,98.59
58,Los Angeles Clippers,Los Angeles Clippers_11_2010,2010,11,79.3,46.9,17.1,34.0,105.7,112.4,52.8,1.24,92.28
59,Sacramento Kings,Sacramento Kings_11_2010,2010,11,82.0,42.7,16.2,28.1,100.0,108.9,50.8,1.15,91.04
60,Miami Heat,Miami Heat_12_2010,2010,12,77.0,49.0,17.5,40.7,111.7,97.4,52.3,1.5,91.44
61,San Antonio Spurs,San Antonio Spurs_12_2010,2010,12,80.5,47.7,23.9,38.7,110.4,102.8,49.1,1.9,92.79
62,Boston Celtics,Boston Celtics_12_2010,2010,12,74.9,49.5,15.1,33.2,105.5,97.4,51.8,1.45,91.36
