,Game_Result,Team1_FGA,Team1_FG_P,Team1_3PA,Team1_3P_P,Team1_OFFRTG,Team1_DEFRTG,Team1_REB_P,Team1_AST/TO,Team1_PACE,Team2_FGA,Team2_FG_P,Team2_3PA,Team2_3P_P,Team2_OFFRTG,Team2_DEFRTG,Team2_REB_P,Team2_AST/TO,Team2_PACE
1148,0,90.9,49.8,25.0,40.0,109.1,108.7,47.9,1.56,107.06,91.4,43.6,33.9,35.4,108.9,107.6,53.6,1.37,102.71
1215,1,88.9,44.3,26.0,37.4,107.1,112.9,49.5,1.85,98.73,89.1,43.3,33.1,36.2,103.9,106.6,49.4,1.38,102.13
1229,0,85.8,45.9,26.6,36.0,105.6,103.1,51.7,1.67,98.93,89.1,43.3,33.1,36.2,103.9,106.6,49.4,1.38,102.13
1238,0,88.9,46.6,31.5,31.9,108.4,112.5,47.1,1.77,102.95,89.1,43.3,33.1,36.2,103.9,106.6,49.4,1.38,102.13
1250,0,85.1,47.5,29.7,36.0,110.8,107.4,51.3,1.6,102.34,89.1,43.3,33.1,36.2,103.9,106.6,49.4,1.38,102.13
1294,0,87.6,46.3,29.1,33.9,105.0,103.5,50.7,1.34,102.61,89.1,43.3,33.1,36.2,103.9,106.6,49.4,1.38,102.13
1309,0,90.4,44.2,34.1,33.9,109.6,110.3,49.4,1.58,99.88,89.1,43.3,33.1,36.2,103.9,106.6,49.4,1.38,102.13
1361,0,89.5,44.1,34.9,29.6,101.1,111.7,47.2,1.33,106.0,89.1,43.3,33.1,36.2,103.9,106.6,49.4,1.38,102.13
1383,1,91.2,46.9,28.7,33.1,111.5,110.6,53.2,1.65,103.75,89.1,43.3,33.1,36.2,103.9,106.6,49.4,1.38,102.13
1398,1,86.5,47.2,32.8,37.5,109.3,100.6,53.1,1.67,100.71,88.2,43.9,33.5,35.4,107.9,104.1,52.0,1.8,96.29
1410,0,86.5,42.3,31.4,34.8,101.7,109.0,50.3,1.44,95.92,88.2,43.9,33.5,35.4,107.9,104.1,52.0,1.8,96.29
1526,1,83.8,44.7,42.6,35.7,113.4,109.1,49.7,1.46,97.23,88.2,43.9,33.5,35.4,107.9,104.1,52.0,1.8,96.29
1542,1,89.4,45.1,38.4,33.0,108.4,102.1,50.9,1.71,101.71,88.2,43.9,33.5,35.4,107.9,104.1,52.0,1.8,96.29
1565,0,89.9,43.8,33.1,32.3,106.7,106.0,49.4,1.73,98.12,88.2,43.9,33.5,35.4,107.9,104.1,52.0,1.8,96.29
1580,1,87.4,44.1,27.9,33.4,105.3,116.9,49.2,1.66,95.66,88.2,43.9,33.5,35.4,107.9,104.1,52.0,1.8,96.29
1596,0,90.6,46.1,26.4,35.4,111.6,111.7,49.7,2.12,100.47,88.2,43.9,33.5,35.4,107.9,104.1,52.0,1.8,96.29
1629,1,90.1,46.8,33.4,39.0,110.6,107.2,47.7,2.08,100.75,84.7,46.2,32.2,34.1,106.0,108.3,51.0,1.73,96.14
1660,0,91.3,48.2,32.1,35.7,117.8,111.1,54.1,2.32,97.34,84.7,46.2,32.2,34.1,106.0,108.3,51.0,1.73,96.14
1676,1,90.1,48.0,33.7,39.0,114.5,104.8,50.3,1.96,99.9,84.7,46.2,32.2,34.1,106.0,108.3,51.0,1.73,96.14
1690,1,83.4,43.7,28.0,31.5,100.7,109.8,48.7,1.55,96.68,84.7,46.2,32.2,34.1,106.0,108.3,51.0,1.73,96.14
1768,0,88.2,45.9,26.6,36.5,109.1,109.4,49.0,1.82,100.97,84.7,46.2,32.2,34.1,106.0,108.3,51.0,1.73,96.14
1816,0,88.3,44.9,25.5,36.8,104.7,115.1,48.3,1.59,98.71,84.7,46.2,32.2,34.1,106.0,108.3,51.0,1.73,96.14
1831,0,95.5,46.1,37.0,36.6,113.4,110.2,50.0,1.82,105.23,86.6,47.4,31.3,35.2,108.0,113.1,51.5,1.54,99.0
1839,0,86.3,49.5,27.0,41.0,113.7,104.4,49.1,2.09,97.88,86.6,47.4,31.3,35.2,108.0,113.1,51.5,1.54,99.0
1947,0,86.8,46.7,37.1,39.9,116.0,109.4,51.0,1.85,97.9,86.6,47.4,31.3,35.2,108.0,113.1,51.5,1.54,99.0
1960,0,88.8,45.4,29.2,29.7,105.5,117.0,46.1,1.69,101.56,86.6,47.4,31.3,35.2,108.0,113.1,51.5,1.54,99.0
1973,1,90.9,48.2,38.5,35.2,115.2,111.0,49.0,2.29,102.05,86.6,47.4,31.3,35.2,108.0,113.1,51.5,1.54,99.0
1996,1,89.7,44.5,37.2,34.4,106.8,106.6,48.6,1.61,102.97,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2012,1,98.5,44.7,44.4,35.6,110.6,112.0,49.2,1.96,104.67,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2041,1,87.9,44.7,34.6,35.5,110.1,117.4,48.8,1.56,98.2,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2052,0,86.0,49.2,35.5,40.8,112.4,105.2,49.3,1.74,100.67,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2076,1,88.1,45.5,34.7,37.7,113.9,109.7,50.9,2.05,95.53,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2089,0,92.2,46.4,39.7,36.4,114.2,106.1,52.1,1.93,103.7,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2102,1,91.0,43.3,35.6,36.1,109.7,115.5,48.1,1.97,98.62,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2168,0,90.8,44.8,33.6,35.5,110.6,107.1,51.2,2.3,97.31,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2183,1,87.3,44.0,39.5,32.8,109.1,114.6,47.9,2.06,97.95,87.6,45.7,30.2,34.9,108.1,104.1,50.3,1.94,97.17
2229,0,90.2,46.3,33.2,36.1,111.5,105.4,48.3,2.36,100.8,92.7,44.8,34.8,31.6,103.9,106.9,49.2,1.73,101.24
2271,1,94.2,46.7,29.7,33.7,110.5,114.0,52.4,2.29,103.42,92.7,44.8,34.8,31.6,103.9,106.9,49.2,1.73,101.24
2369,1,86.4,47.4,24.7,35.8,108.8,107.4,50.4,1.42,100.64,87.5,47.2,30.8,31.9,105.5,108.8,50.1,1.28,98.78
